sleep_classes,sampling_strategy,smote_k_neighbors,random_forest_train_score,random_forest_test_score,gboost_train_score,gboost_test_score
0_36/37_47/48_65/66+,all,5,7.82,13.24,3.2,9.99
0_36/37_47/48_65/66+,all,6,7.54,12.88,3.36,9.92
0_36/37_47/48_65/66+,all,7,7.35,11.44,3.3,9.1
0_36/37_47/48_65/66+,all,8,7.68,12.7,3.36,9.66
0_36/37_47/48_65/66+,all,9,7.67,13.09,3.68,9.92
0_36/37_47/48_65/66+,all,10,7.79,12.92,3.69,10.32
0_30/31_67/68_85/86+,all,5,7.15,8.47,4.5,8.27
0_30/31_67/68_85/86+,all,6,7.34,8.81,3.9,8.73
0_30/31_67/68_85/86+,all,7,7.36,8.74,4.53,8.99
0_30/31_67/68_85/86+,all,8,7.28,8.47,3.33,8.56
0_30/31_67/68_85/86+,all,9,7.75,8.61,4.4,8.09
0_30/31_67/68_85/86+,all,10,7.33,8.22,3.29,8.71
0_36/37_60/61+,all,5,7.26,10.31,3.38,10.28
0_36/37_60/61+,all,6,7.23,10.91,4.14,10.36
0_36/37_60/61+,all,7,7.17,11.18,2.99,9.96
0_36/37_60/61+,all,8,7.3,10.7,2.96,9.39
0_36/37_60/61+,all,9,7.38,10.81,3.81,10.03
0_36/37_60/61+,all,10,7.51,10.85,2.97,9.57
